factor_name,group,subgroup,short_description,doc_id
CashEquivGr%PQ,Balance Sheet,Assets-Current,"Cash and Equivalents, Q vs Previous Q Growth",889
CashEquivGr%PQTTM,Balance Sheet,Assets-Current,"Cash and Equivalents, Trailing Twelve Months Growth 1Q Ago",889
CashEquivGr%PYQ,Balance Sheet,Assets-Current,"Cash and Equivalents, Q vs 1 year ago Q Growth",889
CashEquivGr%TTM,Balance Sheet,Assets-Current,"Cash and Equivalents, Trailing Twelve Months Growth",889
CashEquivPQ,Balance Sheet,Assets-Current,"Cash and Equivalents, Previous Quarter",889
CashEquivPSA,Balance Sheet,Assets-Current,"Cash and Equivalents, Annual Per Share",889
CashEquivPSQ,Balance Sheet,Assets-Current,"Cash and Equivalents, Quarterly Per Share",889
CashEquivPTM,Balance Sheet,Assets-Current,"Cash and Equivalents, Previous Trailing 12 Months",889
CashEquivPY,Balance Sheet,Assets-Current,"Cash and Equivalents, Previous Year",889
CashEquivPYQ,Balance Sheet,Assets-Current,"Cash and Equivalents, Previous Quarter 1 Year Ago",889
CashEquivQ,Balance Sheet,Assets-Current,"Cash and Equivalents, Latest Quarter",889
CashEquivRegEstANN,Balance Sheet,Assets-Current,"Cash and Equivalents, Ten Year Regression Estimate",889
CashEquivRegEstTTM,Balance Sheet,Assets-Current,"Cash and Equivalents, Five Year Regression Estimate",889
CashEquivRegGr%ANN,Balance Sheet,Assets-Current,"Cash and Equivalents, Ten Year Regression Estimate",889
CashEquivRegGr%TTM,Balance Sheet,Assets-Current,"Cash and Equivalents, Five Year Regression Growth",889
CashEquivRSD%ANN,Balance Sheet,Assets-Current,"Cash and Equivalents, Ten Year Relative Standard Deviation",889
CashEquivRSD%TTM,Balance Sheet,Assets-Current,"Cash and Equivalents, Five Year Relative Standard Deviation",889
CashEquivTTM,Balance Sheet,Assets-Current,"Cash and Equivalents, Trailing 12 Months",889
CashGr%10Y,Balance Sheet,Assets-Current,"Cash, Ten Year Annualized Growth",984
CashGr%3Y,Balance Sheet,Assets-Current,"Cash, Three Year Annualized Growth",984
CashGr%5Y,Balance Sheet,Assets-Current,"Cash, Five Year Annualized Growth",984
CashGr%A,Balance Sheet,Assets-Current,"Cash, Growth Annual",984
CashGr%PQ,Balance Sheet,Assets-Current,"Cash, Q vs Previous Q Growth",984
CashGr%PQTTM,Balance Sheet,Assets-Current,"Cash, Trailing Twelve Months Growth 1Q Ago",984
CashGr%PYQ,Balance Sheet,Assets-Current,"Cash, Q vs 1 year ago Q Growth",984
CashGr%TTM,Balance Sheet,Assets-Current,"Cash, Trailing Twelve Months Growth",984
CashPQ,Balance Sheet,Assets-Current,"Cash, Previous Quarter",984
CashPSA,Balance Sheet,Assets-Current,"Cash, Annual Per Share",984
CashPSQ,Balance Sheet,Assets-Current,"Cash, Quarterly Per Share",984
CashPTM,Balance Sheet,Assets-Current,"Cash, Previous Trailing 12 Months",984
CashPY,Balance Sheet,Assets-Current,"Cash, Previous Year",984
CashPYQ,Balance Sheet,Assets-Current,"Cash, Previous Quarter 1 Year Ago",984
CashQ,Balance Sheet,Assets-Current,"Cash, Latest Quarter",984
CashRegEstANN,Balance Sheet,Assets-Current,"Cash, Ten Year Regression Estimate",984
CashRegEstTTM,Balance Sheet,Assets-Current,"Cash, Five Year Regression Estimate",984
CashRegGr%ANN,Balance Sheet,Assets-Current,"Cash, Ten Year Regression Estimate",984
CashRegGr%TTM,Balance Sheet,Assets-Current,"Cash, Five Year Regression Growth",984
CashRSD%ANN,Balance Sheet,Assets-Current,"Cash, Ten Year Relative Standard Deviation",984
CashRSD%TTM,Balance Sheet,Assets-Current,"Cash, Five Year Relative Standard Deviation",984
CashTTM,Balance Sheet,Assets-Current,"Cash, Trailing 12 Months",984
Inventory%AssetsA,Balance Sheet,Assets-Current,"Inventory, % of Annual Assets",901
Inventory%AssetsQ,Balance Sheet,Assets-Current,"Inventory, % of Quarterly Assets",901
Inventory3YAvg,Balance Sheet,Assets-Current,"Inventory, Three Year Average",901
Inventory5YAvg,Balance Sheet,Assets-Current,"Inventory, Five Year Average",901
InventoryA,Balance Sheet,Assets-Current,"Inventory, Latest Year",901
InventoryGr%10Y,Balance Sheet,Assets-Current,"Inventory, Ten Year Annualized Growth",901
InventoryGr%3Y,Balance Sheet,Assets-Current,"Inventory, Three Year Annualized Growth",901
InventoryGr%5Y,Balance Sheet,Assets-Current,"Inventory, Five Year Annualized Growth",901
InventoryGr%A,Balance Sheet,Assets-Current,"Inventory, Growth Annual",901
InventoryGr%PQ,Balance Sheet,Assets-Current,"Inventory, Q vs Previous Q Growth",901
InventoryGr%PQTTM,Balance Sheet,Assets-Current,"Inventory, Trailing Twelve Months Growth 1Q Ago",901
InventoryGr%PYQ,Balance Sheet,Assets-Current,"Inventory, Q vs 1 year ago Q Growth",901
InventoryGr%TTM,Balance Sheet,Assets-Current,"Inventory, Trailing Twelve Months Growth",901
InventoryPQ,Balance Sheet,Assets-Current,"Inventory, Previous Quarter",901
InventoryPSA,Balance Sheet,Assets-Current,"Inventory, Annual Per Share",901
InventoryPSQ,Balance Sheet,Assets-Current,"Inventory, Quarterly Per Share",901
InventoryPTM,Balance Sheet,Assets-Current,"Inventory, Previous Trailing 12 Months",901
InventoryPY,Balance Sheet,Assets-Current,"Inventory, Previous Year",901
InventoryPYQ,Balance Sheet,Assets-Current,"Inventory, Previous Quarter 1 Year Ago",901
InventoryQ,Balance Sheet,Assets-Current,"Inventory, Latest Quarter",901
InventoryRegEstANN,Balance Sheet,Assets-Current,"Inventory, Ten Year Regression Estimate",901
InventoryRegEstTTM,Balance Sheet,Assets-Current,"Inventory, Five Year Regression Estimate",901
InventoryRegGr%ANN,Balance Sheet,Assets-Current,"Inventory, Ten Year Regression Estimate",901
InventoryRegGr%TTM,Balance Sheet,Assets-Current,"Inventory, Five Year Regression Growth",901
InventoryRSD%ANN,Balance Sheet,Assets-Current,"Inventory, Ten Year Relative Standard Deviation",901
InventoryRSD%TTM,Balance Sheet,Assets-Current,"Inventory, Five Year Relative Standard Deviation",901
InventoryTTM,Balance Sheet,Assets-Current,"Inventory, Trailing 12 Months",901
InvstST%AssetsA,Balance Sheet,Assets-Current,"Short Term Investments, % of Annual Assets",904
InvstST%AssetsQ,Balance Sheet,Assets-Current,"Short Term Investments, % of Quarterly Assets",904
InvstST3YAvg,Balance Sheet,Assets-Current,"Short Term Investments, Three Year Average",904
InvstST5YAvg,Balance Sheet,Assets-Current,"Short Term Investments, Five Year Average",904
InvstSTA,Balance Sheet,Assets-Current,"Short Term Investments, Latest Year",904
InvstSTGr%10Y,Balance Sheet,Assets-Current,"Short Term Investments, Ten Year Annualized Growth",904
InvstSTGr%3Y,Balance Sheet,Assets-Current,"Short Term Investments, Three Year Annualized Growth",904
InvstSTGr%5Y,Balance Sheet,Assets-Current,"Short Term Investments, Five Year Annualized Growth",904
InvstSTGr%A,Balance Sheet,Assets-Current,"Short Term Investments, Growth Annual",904
InvstSTGr%PQ,Balance Sheet,Assets-Current,"Short Term Investments, Q vs Previous Q Growth",904
InvstSTGr%PQTTM,Balance Sheet,Assets-Current,"Short Term Investments, Trailing Twelve Months Growth 1Q Ago",904
InvstSTGr%PYQ,Balance Sheet,Assets-Current,"Short Term Investments, Q vs 1 year ago Q Growth",904
InvstSTGr%TTM,Balance Sheet,Assets-Current,"Short Term Investments, Trailing Twelve Months Growth",904
InvstSTPQ,Balance Sheet,Assets-Current,"Short Term Investments, Previous Quarter",904
InvstSTPSA,Balance Sheet,Assets-Current,"Short Term Investments, Annual Per Share",904
InvstSTPSQ,Balance Sheet,Assets-Current,"Short Term Investments, Quarterly Per Share",904
InvstSTPTM,Balance Sheet,Assets-Current,"Short Term Investments, Previous Trailing 12 Months",904
InvstSTPY,Balance Sheet,Assets-Current,"Short Term Investments, Previous Year",904
InvstSTPYQ,Balance Sheet,Assets-Current,"Short Term Investments, Previous Quarter 1 Year Ago",904
InvstSTQ,Balance Sheet,Assets-Current,"Short Term Investments, Latest Quarter",904
InvstSTRegEstANN,Balance Sheet,Assets-Current,"Short Term Investments, Ten Year Regression Estimate",904
InvstSTRegEstTTM,Balance Sheet,Assets-Current,"Short Term Investments, Five Year Regression Estimate",904
InvstSTRegGr%ANN,Balance Sheet,Assets-Current,"Short Term Investments, Ten Year Regression Estimate",904
InvstSTRegGr%TTM,Balance Sheet,Assets-Current,"Short Term Investments, Five Year Regression Growth",904
InvstSTRSD%ANN,Balance Sheet,Assets-Current,"Short Term Investments, Ten Year Relative Standard Deviation",904
InvstSTRSD%TTM,Balance Sheet,Assets-Current,"Short Term Investments, Five Year Relative Standard Deviation",904
InvstSTTTM,Balance Sheet,Assets-Current,"Short Term Investments, Trailing 12 Months",904
Recvbl%AssetsA,Balance Sheet,Assets-Current,"Accounts Receivables, % of Annual Assets",915
Recvbl%AssetsQ,Balance Sheet,Assets-Current,"Accounts Receivables, % of Quarterly Assets",915
Recvbl3YAvg,Balance Sheet,Assets-Current,"Accounts Receivables, Three Year Average",915
Recvbl5YAvg,Balance Sheet,Assets-Current,"Accounts Receivables, Five Year Average",915
RecvblA,Balance Sheet,Assets-Current,"Accounts Receivables, Latest Year",915
RecvblGr%10Y,Balance Sheet,Assets-Current,"Accounts Receivables, Ten Year Annualized Growth",915
RecvblGr%3Y,Balance Sheet,Assets-Current,"Accounts Receivables, Three Year Annualized Growth",915
RecvblGr%5Y,Balance Sheet,Assets-Current,"Accounts Receivables, Five Year Annualized Growth",915
RecvblGr%A,Balance Sheet,Assets-Current,"Accounts Receivables, Growth Annual",915
RecvblGr%PQ,Balance Sheet,Assets-Current,"Accounts Receivables, Q vs Previous Q Growth",915
RecvblGr%PQTTM,Balance Sheet,Assets-Current,"Accounts Receivables, Trailing Twelve Months Growth 1Q Ago",915
RecvblGr%PYQ,Balance Sheet,Assets-Current,"Accounts Receivables, Q vs 1 year ago Q Growth",915
RecvblGr%TTM,Balance Sheet,Assets-Current,"Accounts Receivables, Trailing Twelve Months Growth",915
RecvblPQ,Balance Sheet,Assets-Current,"Accounts Receivables, Previous Quarter",915
RecvblPSA,Balance Sheet,Assets-Current,"Accounts Receivables, Annual Per Share",915
RecvblPSQ,Balance Sheet,Assets-Current,"Accounts Receivables, Quarterly Per Share",915
RecvblPTM,Balance Sheet,Assets-Current,"Accounts Receivables, Previous Trailing 12 Months",915
RecvblPY,Balance Sheet,Assets-Current,"Accounts Receivables, Previous Year",915
RecvblPYQ,Balance Sheet,Assets-Current,"Accounts Receivables, Previous Quarter 1 Year Ago",915
RecvblQ,Balance Sheet,Assets-Current,"Accounts Receivables, Latest Quarter",915
RecvblRegEstANN,Balance Sheet,Assets-Current,"Accounts Receivables, Ten Year Regression Estimate",915
RecvblRegEstTTM,Balance Sheet,Assets-Current,"Accounts Receivables, Five Year Regression Estimate",915
RecvblRegGr%ANN,Balance Sheet,Assets-Current,"Accounts Receivables, Ten Year Regression Estimate",915
RecvblRegGr%TTM,Balance Sheet,Assets-Current,"Accounts Receivables, Five Year Regression Growth",915
RecvblRSD%ANN,Balance Sheet,Assets-Current,"Accounts Receivables, Ten Year Relative Standard Deviation",915
RecvblRSD%TTM,Balance Sheet,Assets-Current,"Accounts Receivables, Five Year Relative Standard Deviation",915
RecvblTTM,Balance Sheet,Assets-Current,"Accounts Receivables, Trailing 12 Months",915
WorkCap%AssetsA,Balance Sheet,Assets-Current,"Working Capital, % of Annual Assets",919
WorkCap%AssetsQ,Balance Sheet,Assets-Current,"Working Capital, % of Quarterly Assets",919
WorkCap3YAvg,Balance Sheet,Assets-Current,"Working Capital, Three Year Average",919
WorkCap5YAvg,Balance Sheet,Assets-Current,"Working Capital, Five Year Average",919
WorkCapA,Balance Sheet,Assets-Current,"Working Capital, Latest Year",919
WorkCapGr%10Y,Balance Sheet,Assets-Current,"Working Capital, Ten Year Annualized Growth",919
WorkCapGr%3Y,Balance Sheet,Assets-Current,"Working Capital, Three Year Annualized Growth",919
WorkCapGr%5Y,Balance Sheet,Assets-Current,"Working Capital, Five Year Annualized Growth",919
WorkCapGr%A,Balance Sheet,Assets-Current,"Working Capital, Growth Annual",919
WorkCapGr%PQ,Balance Sheet,Assets-Current,"Working Capital, Q vs Previous Q Growth",919
WorkCapGr%PQTTM,Balance Sheet,Assets-Current,"Working Capital, Trailing Twelve Months Growth 1Q Ago",919
WorkCapGr%PYQ,Balance Sheet,Assets-Current,"Working Capital, Q vs 1 year ago Q Growth",919
WorkCapGr%TTM,Balance Sheet,Assets-Current,"Working Capital, Trailing Twelve Months Growth",919
WorkCapPQ,Balance Sheet,Assets-Current,"Working Capital, Previous Quarter",919
WorkCapPSA,Balance Sheet,Assets-Current,"Working Capital, Annual Per Share",919
WorkCapPSQ,Balance Sheet,Assets-Current,"Working Capital, Quarterly Per Share",919
WorkCapPTM,Balance Sheet,Assets-Current,"Working Capital, Previous Trailing 12 Months",919
WorkCapPY,Balance Sheet,Assets-Current,"Working Capital, Previous Year",919
WorkCapPYQ,Balance Sheet,Assets-Current,"Working Capital, Previous Quarter 1 Year Ago",919
WorkCapQ,Balance Sheet,Assets-Current,"Working Capital, Latest Quarter",919
WorkCapRegEstANN,Balance Sheet,Assets-Current,"Working Capital, Ten Year Regression Estimate",919
WorkCapRegEstTTM,Balance Sheet,Assets-Current,"Working Capital, Five Year Regression Estimate",919
WorkCapRegGr%ANN,Balance Sheet,Assets-Current,"Working Capital, Ten Year Regression Estimate",919
WorkCapRegGr%TTM,Balance Sheet,Assets-Current,"Working Capital, Five Year Regression Growth",919
WorkCapRSD%ANN,Balance Sheet,Assets-Current,"Working Capital, Ten Year Relative Standard Deviation",919
WorkCapRSD%TTM,Balance Sheet,Assets-Current,"Working Capital, Five Year Relative Standard Deviation",919
WorkCapTTM,Balance Sheet,Assets-Current,"Working Capital, Trailing 12 Months",919
AccumDep%AssetsA,Balance Sheet,Assets-Noncurrent,"Accumulated Depreciation, % of Annual Assets",871
AccumDep%AssetsQ,Balance Sheet,Assets-Noncurrent,"Accumulated Depreciation, % of Quarterly Assets",871
AccumDep3YAvg,Balance Sheet,Assets-Noncurrent,"Accumulated Depreciation, Three Year Average",871
AccumDep5YAvg,Balance Sheet,Assets-Noncurrent,"Accumulated Depreciation, Five Year Average",871
AccumDepA,Balance Sheet,Assets-Noncurrent,"Accumulated Depreciation, Latest Year",871
AccumDepGr%10Y,Balance Sheet,Assets-Noncurrent,"Accumulated Depreciation, Ten Year Annualized Growth",871
AccumDepGr%3Y,Balance Sheet,Assets-Noncurrent,"Accumulated Depreciation, Three Year Annualized Growth",871
AccumDepGr%5Y,Balance Sheet,Assets-Noncurrent,"Accumulated Depreciation, Five Year Annualized Growth",871
AccumDepGr%A,Balance Sheet,Assets-Noncurrent,"Accumulated Depreciation, Growth Annual",871
AccumDepGr%PQ,Balance Sheet,Assets-Noncurrent,"Accumulated Depreciation, Q vs Previous Q Growth",871
AccumDepGr%PQTTM,Balance Sheet,Assets-Noncurrent,"Accumulated Depreciation, Trailing Twelve Months Growth 1Q Ago",871
AccumDepGr%PYQ,Balance Sheet,Assets-Noncurrent,"Accumulated Depreciation, Q vs 1 year ago Q Growth",871
AccumDepGr%TTM,Balance Sheet,Assets-Noncurrent,"Accumulated Depreciation, Trailing Twelve Months Growth",871
AccumDepPQ,Balance Sheet,Assets-Noncurrent,"Accumulated Depreciation, Previous Quarter",871
AccumDepPSA,Balance Sheet,Assets-Noncurrent,"Accumulated Depreciation, Annual Per Share",871
AccumDepPSQ,Balance Sheet,Assets-Noncurrent,"Accumulated Depreciation, Quarterly Per Share",871
AccumDepPTM,Balance Sheet,Assets-Noncurrent,"Accumulated Depreciation, Previous Trailing 12 Months",871
AccumDepPY,Balance Sheet,Assets-Noncurrent,"Accumulated Depreciation, Previous Year",871
AccumDepPYQ,Balance Sheet,Assets-Noncurrent,"Accumulated Depreciation, Previous Quarter 1 Year Ago",871
AccumDepQ,Balance Sheet,Assets-Noncurrent,"Accumulated Depreciation, Latest Quarter",871
AccumDepRegEstANN,Balance Sheet,Assets-Noncurrent,"Accumulated Depreciation, Ten Year Regression Estimate",871
AccumDepRegEstTTM,Balance Sheet,Assets-Noncurrent,"Accumulated Depreciation, Five Year Regression Estimate",871
AccumDepRegGr%ANN,Balance Sheet,Assets-Noncurrent,"Accumulated Depreciation, Ten Year Regression Estimate",871
AccumDepRegGr%TTM,Balance Sheet,Assets-Noncurrent,"Accumulated Depreciation, Five Year Regression Growth",871
AccumDepRSD%ANN,Balance Sheet,Assets-Noncurrent,"Accumulated Depreciation, Ten Year Relative Standard Deviation",871
AccumDepRSD%TTM,Balance Sheet,Assets-Noncurrent,"Accumulated Depreciation, Five Year Relative Standard Deviation",871
AccumDepTTM,Balance Sheet,Assets-Noncurrent,"Accumulated Depreciation, Trailing 12 Months",871
AstIntan%AssetsA,Balance Sheet,Assets-Noncurrent,"Intangible Assets, % of Annual Assets",875
AstIntan%AssetsQ,Balance Sheet,Assets-Noncurrent,"Intangible Assets, % of Quarterly Assets",875
AstIntan3YAvg,Balance Sheet,Assets-Noncurrent,"Intangible Assets, Three Year Average",875
AstIntan5YAvg,Balance Sheet,Assets-Noncurrent,"Intangible Assets, Five Year Average",875
AstIntanA,Balance Sheet,Assets-Noncurrent,"Intangible Assets, Latest Year",875
AstIntanGr%10Y,Balance Sheet,Assets-Noncurrent,"Intangible Assets, Ten Year Annualized Growth",875
AstIntanGr%3Y,Balance Sheet,Assets-Noncurrent,"Intangible Assets, Three Year Annualized Growth",875
AstIntanGr%5Y,Balance Sheet,Assets-Noncurrent,"Intangible Assets, Five Year Annualized Growth",875
AstIntanGr%A,Balance Sheet,Assets-Noncurrent,"Intangible Assets, Growth Annual",875
AstIntanGr%PQ,Balance Sheet,Assets-Noncurrent,"Intangible Assets, Q vs Previous Q Growth",875
AstIntanGr%PQTTM,Balance Sheet,Assets-Noncurrent,"Intangible Assets, Trailing Twelve Months Growth 1Q Ago",875
AstIntanGr%PYQ,Balance Sheet,Assets-Noncurrent,"Intangible Assets, Q vs 1 year ago Q Growth",875
AstIntanGr%TTM,Balance Sheet,Assets-Noncurrent,"Intangible Assets, Trailing Twelve Months Growth",875
AstIntanPQ,Balance Sheet,Assets-Noncurrent,"Intangible Assets, Previous Quarter",875
AstIntanPSA,Balance Sheet,Assets-Noncurrent,"Intangible Assets, Annual Per Share",875
AstIntanPSQ,Balance Sheet,Assets-Noncurrent,"Intangible Assets, Quarterly Per Share",875
AstIntanPTM,Balance Sheet,Assets-Noncurrent,"Intangible Assets, Previous Trailing 12 Months",875
