parameter_name,parameter_values,group,subgroup,short_desc
scope,#Style,Constants,Formula Functions Scope Parameter,Operate within each ETF Style
scope,#Country,Constants,Formula Functions Scope Parameter,Operate within each ETF Country
scope,#Method,Constants,Formula Functions Scope Parameter,Operate within each ETF Method
scope,#All,Constants,Formula Functions Scope Parameter,Operate within selected universe
scope,#Sector,Constants,Formula Functions Scope Parameter,Operate within Sectors in selected universe
scope,#ETFSector,Constants,Formula Functions Scope Parameter,Operate within each ETF Sector
scope,#Region,Constants,Formula Functions Scope Parameter,Operate within each ETF Region
scope,#Previous,Constants,Formula Functions Scope Parameter,Operate on the results from previous rule
scope,#Family,Constants,Formula Functions Scope Parameter,Operate within each ETF Family
scope,#GroupVar,Constants,Formula Functions Scope Parameter,Operates on groups based on value of variable @Group
scope,#Industry,Constants,Formula Functions Scope Parameter,Operate within Industries in selected universe
scope,#Size,Constants,Formula Functions Scope Parameter,Operate within each ETF Size
scope,#SP500,Constants,Formula Functions Scope Parameter,Operate within the SP500 stocks
sort,#DESC,Constants,Formula Functions Sort Parameter,Sort descending
sort,#ASC,Constants,Formula Functions Sort Parameter,Sort ascending
sort_style,#Top,Constants,Formula Functions Sort Style Parameter,Top (Positive Bias)
sort_style,#Neutral,Constants,Formula Functions Sort Style Parameter,Neutral
NAHandling,FALLBACK,Constants,N/A during preliminaries,Fallback to previous period
NAHandling,KEEPNA,Constants,N/A during preliminaries,Keep NA values
NAHandling,ZERONA,Constants,N/A during preliminaries,Set NA values to 0
period_bar,#Month,Constants,Numerical Constants,"Returns 21, the approximate number of bars in a month"
period_bar,#Week,Constants,Numerical Constants,"Returns 5, the approximate number of bars in a week"
period_bar,#Year,Constants,Numerical Constants,"Returns 251, the approximate number of bars in a year"
period_bar,#Year2,Constants,Numerical Constants,"Returns 501, the approximate number of bars in two years"
"zeroIsNA,excl_zero,ex_zero,ex_adrs,cnt_flag",FALSE,Constants,Numerical Constants,FALSE or 0
"zeroIsNA,excl_zero,ex_zero,ex_adrs,cnt_flag",TRUE,Constants,Numerical Constants,TRUE or 1
period_bar,#Month3,Constants,Numerical Constants,"Returns 62, the approximate number of bars in 3 months"
period_bar,#Month6,Constants,Numerical Constants,"Returns 125, the approximate number of bars in 6 months"
uname,ALLFUND,Constants,Universe IDs,All Fundamentals
uname,ALLSTOCKS,Constants,Universe IDs,All Stocks
uname,NOOTC,Constants,Universe IDs - Major USA,No OTC Exchange
uname,SP500,Constants,Universe IDs - Major USA,iShares S&P500 LargeCap (IVV)
uname,DJIA,Constants,Universe IDs - Major USA,Dow Jones Industrial Average
uname,SP1500,Constants,Universe IDs - Major USA,iShares S&P1500 CompositeCap (IVV+IJH+IJR)
uname,Prussell1000,Constants,Universe IDs - Major USA,Prussell 1000
uname,Prussell2000,Constants,Universe IDs - Major USA,Prussell 2000
uname,Prussell3000,Constants,Universe IDs - Major USA,Prussell 3000
uname,SP400,Constants,Universe IDs - Other USA,iShares S&P400 MidCap (IJH)
uname,SmallCap,Constants,Universe IDs - Other USA,Small Cap
uname,SP600,Constants,Universe IDs - Other USA,iShares S&P600 SmallCap (IJR)
uname,NYSE,Constants,Universe IDs - Other USA,NY Stock Exchange
uname,NYSEMKT,Constants,Universe IDs - Other USA,NYSE MKT (AMEX)
uname,OTC,Constants,Universe IDs - Other USA,Over The Counter
uname,LargeCap,Constants,Universe IDs - Other USA,Large Cap
uname,MasterLP,Constants,Universe IDs - Other USA,Master Limited Partnerships
uname,MicroCap,Constants,Universe IDs - Other USA,MicroCap
uname,MidCap,Constants,Universe IDs - Other USA,Mid Cap
uname,NASD,Constants,Universe IDs - Other USA,NASDAQ Exchange
uname,NASDAQ100,Constants,Universe IDs - Other USA,Nasdaq 100
uname,$ADR,Constants,Universe IDs - Other USA,American Depositary Receipt
series,##DELINQCC,Macro Series IDs (Adjusted),Macro - Delinquency Rate,"Delinquency Rate On Credit Card Loans, All Commercial Banks (quarterly)\n\nCorresponding FRED id=DRCCLACBS"
series,##DELINQMORT,Macro Series IDs (Adjusted),Macro - Delinquency Rate,Delinquency Rate On Single-Family Residential Mortgages (quarterly)\n\nCorresponding FRED id=DRSFRMACBS
series,##GNP,Macro Series IDs (Adjusted),Macro - GDP/GNP,Gross National Product (quarterly)\n\nCorresponding FRED id=GNP
series,##RGDP,Macro Series IDs (Adjusted),Macro - GDP/GNP,Real Gross Domestic Product (quarterly)\n\nCorresponding FRED id=GDPC1
series,##RINCPERCAP,Macro Series IDs (Adjusted),Macro - Income,Real Disposable Personal Income: Per capita (monthly)\n\nCorresponding FRED id=A229RX0
series,##RMINCOME,Macro Series IDs (Adjusted),Macro - Income,Real Median Income (annual)\n\nCorresponding FRED id=MEHOINUSA672N
series,##HDEBTSERV,Macro Series IDs (Adjusted),Macro - Income,Household Debt Service Payments as a Percent of Disposable Personal Income (quarterly)\n\nCorresponding FRED id=TDSP
series,##RDISPINC,Macro Series IDs (Adjusted),Macro - Income,Real Disposable Personal Income (monthly)\n\nCorresponding FRED id=DSPIC96
series,##UNWANT,Macro Series IDs (Adjusted),Macro - Labor Force,"Not in Labor Force, Want a Job Now (monthly)\n\nCorresponding FRED id=NILFWJN"
series,##POPUL,Macro Series IDs (Adjusted),Macro - Labor Force,Total Population: All Ages including Armed Forces Overseas (monthly)\n\nCorresponding FRED id=POP
series,##CIVLABOR,Macro Series IDs (Adjusted),Macro - Labor Force,Civilian Labor Force (monthly)\n\nCorresponding FRED id=CLF16OV
series,##NONFARMEMPL,Macro Series IDs (Adjusted),Macro - Labor Force,All Employees: Total nonfarm (monthly)\n\nCorresponding FRED id=PAYEMS
series,##LABORPARTIC,Macro Series IDs (Adjusted),Macro - Labor Force,Civilian Labor Force Participation Rate (monthly)\n\nCorresponding FRED id=CIVPART
series,##INV2SHIP,Macro Series IDs (Adjusted),Macro - Manufacturing,Ratio of Total Inventories to Shipments for All Manufacturing Industries (monthly)\n\nCorresponding FRED id=AMTMUS
series,##ORDERSCAP,Macro Series IDs (Adjusted),Macro - Manufacturing,Manufacturers' New Orders: Nondefense Capital Goods ex.Aircraft (monthly)\n\nCorresponding FRED id=NEWORDER
series,##ORDERSDUR,Macro Series IDs (Adjusted),Macro - Manufacturing,Manufacturers' New Orders: Durable Goods (monthly)\n\nCorresponding FRED id=DGORDER
series,##ORDERSUNFILL,Macro Series IDs (Adjusted),Macro - Manufacturing,Value of Unfilled Orders for All Manufacturing ex. Transportation (monthly)\n\nCorresponding FRED id=AMXTUO
series,##WAGES,Macro Series IDs (Adjusted),Macro - Manufacturing,Wages in manufacturing (monthly)\n\nCorresponding FRED id=AHETPI
series,##VELM1,Macro Series IDs (Adjusted),"Macro - Money, M1, M2",Velocity of M1 Money Stock (quarterly)\n\nCorresponding FRED id=M1V
series,##VELM2,Macro Series IDs (Adjusted),"Macro - Money, M1, M2",Velocity of M2 Money Stock (quarterly)\n\nCorresponding FRED id=M2V
series,##VELMZM,Macro Series IDs (Adjusted),"Macro - Money, M1, M2",Velocity of MZM Money Stock (quarterly)\n\nCorresponding FRED id=MZMV
series,##MZM,Macro Series IDs (Adjusted),"Macro - Money, M1, M2",MZM Money Stock (weekly)\n\nCorresponding FRED id=MZM
series,##ADJMBASE,Macro Series IDs (Adjusted),"Macro - Money, M1, M2",Monetary Base; Total (weekly)\n\nCorresponding FRED id=BOGMBASEW
series,##M1,Macro Series IDs (Adjusted),"Macro - Money, M1, M2",M1 Money Stock (monthly)\n\nCorresponding FRED id=M1SL
series,##M2,Macro Series IDs (Adjusted),"Macro - Money, M1, M2",M2 Money Stock (monthly)\n\nCorresponding FRED id=M2SL
series,##USCURRACCT,Macro Series IDs (Adjusted),"Macro - Money, M1, M2",Balance on Current Account (quarterly)\n\nCorresponding FRED id=IEABC
series,##CAPUTIL,Macro Series IDs (Adjusted),Macro - Other Business Activity,Capacity Utilization: Total Industry (monthly)\n\nCorresponding FRED id=TCU
series,##CONSTR,Macro Series IDs (Adjusted),Macro - Other Business Activity,Total Construction Spending (monthly)\n\nCorresponding FRED id=TTLCONS
series,##INV2SLS,Macro Series IDs (Adjusted),Macro - Other Business Activity,Total Business: Inventories to Sales Ratio (monthly)\n\nCorresponding FRED id=ISRATIO
series,##HSTARTS,Macro Series IDs (Adjusted),Macro - Other Business Activity,Housing Starts (Total) (monthly)\n\nCorresponding FRED id=HOUST
series,##INDPRO,Macro Series IDs (Adjusted),Macro - Other Business Activity,Industrial Production Index (monthly)\n\nCorresponding FRED id=INDPRO
series,##INVTOT,Macro Series IDs (Adjusted),Macro - Other Business Activity,Total Business Inventories (monthly)\n\nCorresponding FRED id=BUSINV
series,##SALESRET,Macro Series IDs (Adjusted),Macro - Other Business Activity,Retail Sales: Total (Excluding Food Services) (monthly)\n\nCorresponding FRED id=RSXFS
series,##SALESRETFD,Macro Series IDs (Adjusted),Macro - Other Business Activity,Real Retail and Food Services Sales (monthly)\n\nCorresponding FRED id=RRSFS
series,##SAVING,Macro Series IDs (Adjusted),Macro - Other Economic Activity,Personal Saving Rate (monthly)\n\nCorresponding FRED id=PSAVERT
series,##SURPLUS,Macro Series IDs (Adjusted),Macro - Other Economic Activity,Federal Surplus or Deficit [-] (annual)\n\nCorresponding FRED id=FYFSD
series,##RPCE,Macro Series IDs (Adjusted),Macro - Other Economic Activity,Real Personal Consumption Expenditures (monthly)\n\nCorresponding FRED id=PCEC96
series,##DOMINV,Macro Series IDs (Adjusted),Macro - Other Economic Activity,Gross Private Domestic Investment (quarterly)\n\nCorresponding FRED id=GPDI
series,##PCE,Macro Series IDs (Adjusted),Macro - Other Economic Activity,Personal Consumption Expenditures (monthly)\n\nCorresponding FRED id=PCE
series,##USSLIND,Macro Series IDs (Adjusted),Macro - Other Economic Activity,Leading Index for the United States (monthly)\n\nCorresponding FRED id=USALOLITONOSTSAM
series,##PPI,Macro Series IDs (Adjusted),"Macro - Price Index, CPI, PPI, HPI",Producer Price Index: Finished Goods (monthly)\n\nCorresponding FRED id=WPSFD49207
series,##CPI,Macro Series IDs (Adjusted),"Macro - Price Index, CPI, PPI, HPI",CPI All Urban Consumers: All Items (monthly)\n\nCorresponding FRED id=CPIAUCSL
series,##HPRICES,Macro Series IDs (Adjusted),"Macro - Price Index, CPI, PPI, HPI",S&P Case-Shiller 20-City Home Price Index© (monthly)\n\nCorresponding FRED id=SPCS20RSA
series,##RECPROB,Macro Series IDs (Adjusted),Macro - Sentiment,Smoothed U.S. Recession Probabilities (monthly)\n\nCorresponding FRED id=RECPROUSM156N
series,##UMCSENT,Macro Series IDs (Adjusted),Macro - Sentiment,University of Michigan: Consumer Sentiment© (monthly)\n\nCorresponding FRED id=UMCSENT
series,##CLAIMSCONTINUE,Macro Series IDs (Adjusted),Macro - Unemployment,Continued Claims (Insured Unemployment) (weekly)\n\nCorresponding FRED id=CCSA
series,##CLAIMSNEW,Macro Series IDs (Adjusted),Macro - Unemployment,Initial Claims (weekly)\n\nCorresponding FRED id=ICSA
series,##UNDURATION,Macro Series IDs (Adjusted),Macro - Unemployment,Median Duration of Unemployment (monthly)\n\nCorresponding FRED id=UEMPMED
series,##UNRATE,Macro Series IDs (Adjusted),Macro - Unemployment,Civilian Unemployment Rate (monthly)\n\nCorresponding FRED id=UNRATE
series,##UNTEEN,Macro Series IDs (Adjusted),Macro - Unemployment,Unemployment Rate - 16 to 19 years (monthly)\n\nCorresponding FRED id=LNS14000012
series,##UNTOT,Macro Series IDs (Adjusted),Macro - Unemployment,"Total unemployed, including under-employed (monthly)\n\nCorresponding FRED id=U6RATE"
series,##PRODAUTO,Macro Series IDs (Adjusted),"Macro - Vehicle, Automobile",Domestic Auto Production (monthly)\n\nCorresponding FRED id=DAUPSA
series,##SALESALLVEH,Macro Series IDs (Adjusted),"Macro - Vehicle, Automobile",Total Vehicle Sales (monthly)\n\nCorresponding FRED id=TOTALSA
series,##SALESAUTO,Macro Series IDs (Adjusted),"Macro - Vehicle, Automobile",Light Weight Vehicle Sales: Autos & Light Trucks (monthly)\n\nCorresponding FRED id=ALTSALES
series,##INV2SLSAUTO,Macro Series IDs (Adjusted),"Macro - Vehicle, Automobile",Auto Inventory/Sales Ratio (monthly)\n\nCorresponding FRED id=AISRSA
series,#EMPLOY,Macro Series IDs (Unadjusted),Compustat Macro - TO BE DEPRECATED,"Total Non-Farm Employment, Thousands of People (monthly)"
series,#PPI,Macro Series IDs (Unadjusted),Compustat Macro - TO BE DEPRECATED,"Producer Price Index (PPI), Finished Goods (monthly)"
series,#HOUSE,Macro Series IDs (Unadjusted),Compustat Macro - TO BE DEPRECATED,"Total New Housing Starts, Privately Owned Residences, in thousands of units (monthly)"
series,#FEDFUNDS,Macro Series IDs (Unadjusted),Compustat Macro - TO BE DEPRECATED,"Fed Funds Rate, in percentage points (monthly)"
series,#GDP,Macro Series IDs (Unadjusted),Compustat Macro - TO BE DEPRECATED,"Real Gross Domestic Product, Billions of Chained 2009 Dollars  (*quarterly data, 3 equal monthly values)"
series,#PRIME,Macro Series IDs (Unadjusted),Compustat Macro - TO BE DEPRECATED,"Prime Rate, in percentage points (monthly)"
series,#RTLSALES,Macro Series IDs (Unadjusted),Compustat Macro - TO BE DEPRECATED,"Retail Sales, excluding Food Services, in millions of dollars (monthly)"
series,#UNEMP,Macro Series IDs (Unadjusted),Compustat Macro - TO BE DEPRECATED,"Unemployment Rate, in percentage points (monthly)"
series,#TBILL12M,Macro Series IDs (Unadjusted),Compustat Macro - TO BE DEPRECATED,12-Month Treasury Yield (monthly)
series,#TBILL3M,Macro Series IDs (Unadjusted),Compustat Macro - TO BE DEPRECATED,3-Month Treasury Yield (monthly)
series,#TBILL6M,Macro Series IDs (Unadjusted),Compustat Macro - TO BE DEPRECATED,6-Month Treasury Yield (monthly)
series,#POPT,Macro Series IDs (Unadjusted),Compustat Macro - TO BE DEPRECATED,"Total U.S. Population  (*annual data, 12 equal monthly values)"
series,#NOTE10YR,Macro Series IDs (Unadjusted),Compustat Macro - TO BE DEPRECATED,10-Year Treasury Yield (monthly)
series,#NOTE2YR,Macro Series IDs (Unadjusted),Compustat Macro - TO BE DEPRECATED,2-Year Treasury Yield (monthly)
series,#NOTE3YR,Macro Series IDs (Unadjusted),Compustat Macro - TO BE DEPRECATED,3-Year Treasury Yield (monthly)
series,#NOTE5YR,Macro Series IDs (Unadjusted),Compustat Macro - TO BE DEPRECATED,5-Year Treasury Yield (monthly)
series,#NOTE7YR,Macro Series IDs (Unadjusted),Compustat Macro - TO BE DEPRECATED,7-Year Treasury Yield (monthly)
series,#CPI,Macro Series IDs (Unadjusted),Compustat Macro - TO BE DEPRECATED,"Consumer Price Index for Urban Consumers, All Items (monthly)"
series,#M1,Macro Series IDs (Unadjusted),Compustat Macro - TO BE DEPRECATED,"M1 Money Stock, in billions of dollars (monthly)"
series,#M2,Macro Series IDs (Unadjusted),Compustat Macro - TO BE DEPRECATED,"M2 Money Stock, in billions of dollars (monthly)"
series,#CABGDP2,Macro Series IDs (Unadjusted),Compustat Macro - TO BE DEPRECATED,"Total Current Account Balance of the United States as a percentage of GDP (*quarterly data, 3 equal monthly values)"
series,#BOND20YR,Macro Series IDs (Unadjusted),Compustat Macro - TO BE DEPRECATED,20-Year Treasury Yield (monthly)
series,#BOND30YR,Macro Series IDs (Unadjusted),Compustat Macro - TO BE DEPRECATED,30-Year Treasury Yield (monthly)
series,##CORPAAA,Macro Series IDs (Unadjusted),Macro - Corporate Bonds,BofA Merrill Lynch US Corporate AAA Effective Yield© (daily)\n\nCorresponding FRED id=BAMLC0A1CAAAEY
series,##CORPB,Macro Series IDs (Unadjusted),Macro - Corporate Bonds,BofA Merrill Lynch US High Yield B Effective Yield© (daily)\n\nCorresponding FRED id=BAMLH0A2HYBEY
series,##CORPBB,Macro Series IDs (Unadjusted),Macro - Corporate Bonds,BofA Merrill Lynch US High Yield BB Effective Yield© (daily)\n\nCorresponding FRED id=BAMLH0A1HYBBEY
series,##CORPBBB,Macro Series IDs (Unadjusted),Macro - Corporate Bonds,BofA Merrill Lynch US Corporate BBB Effective Yield© (daily)\n\nCorresponding FRED id=BAMLC0A4CBBBEY
series,##CORPBBBOAS,Macro Series IDs (Unadjusted),Macro - Corporate Bonds,BofA Merrill Lynch US Corporate BBB Option-Adjusted Spread (daily)\n\nCorresponding FRED id=BAMLC0A4CBBB
series,##CORPBBOAS,Macro Series IDs (Unadjusted),Macro - Corporate Bonds,BofA Merrill Lynch US High Yield Master II Opt-Adj Spread (daily)\n\nCorresponding FRED id=BAMLH0A0HYM2
series,##CORPJNK,Macro Series IDs (Unadjusted),Macro - Corporate Bonds,BofA Merrill Lynch US High Yield CCC or Below Effective Yield© (daily)\n\nCorresponding FRED id=BAMLH0A3HYCEY
series,##SEB3MO,Macro Series IDs (Unadjusted),Macro - Interbank Rate,3-Month Interbank Rates for Sweden (monthly)\n\nCorresponding FRED id=IR3TIB01SEM156N
series,##NOB3MO,Macro Series IDs (Unadjusted),Macro - Interbank Rate,3-Month Interbank Rates for Norway (monthly)\n\nCorresponding FRED id=IR3TIB01NOM156N
series,##PLB3MO,Macro Series IDs (Unadjusted),Macro - Interbank Rate,3-Month Interbank Rates for Poland (monthly)\n\nCorresponding FRED id=IR3TIB01PLM156N
series,##EUB3MO,Macro Series IDs (Unadjusted),Macro - Interbank Rate,3-Month Interbank Rate for the Euro Area (monthly)\n\nCorresponding FRED id=IR3TIB01EZM156N
series,##GBB3MO,Macro Series IDs (Unadjusted),Macro - Interbank Rate,3-Month Interbank Rate for the United Kingdom (monthly)\n\nCorresponding FRED id=IR3TIB01GBM156N
series,##CAB3MO,Macro Series IDs (Unadjusted),Macro - Interbank Rate,3-Month Interbank Rate for Canada (monthly)\n\nCorresponding FRED id=IR3TIB01CAM156N
series,##FEDFUNDS,Macro Series IDs (Unadjusted),"Macro - Interest, Mortgage, Prime, TED",Effective Federal Funds Rate (daily)\n\nCorresponding FRED id=DFF
series,##TEDSPREAD,Macro Series IDs (Unadjusted),"Macro - Interest, Mortgage, Prime, TED",TED Spread (daily)\n\nCorresponding FRED id=TEDRATE
series,##PRIME,Macro Series IDs (Unadjusted),"Macro - Interest, Mortgage, Prime, TED",Bank Prime Loan Rate (monthly)\n\nCorresponding FRED id=MPRIME
series,##MORT30Y,Macro Series IDs (Unadjusted),"Macro - Interest, Mortgage, Prime, TED",30-Year Fixed Rate Mortgage Average in the United States (weekly)\n\nCorresponding FRED id=MORTGAGE30US
series,##OIL,Macro Series IDs (Unadjusted),"Macro - Oil, Gold Price","Crude Oil Prices: West Texas Intermediate (WTI) - Cushing, OK (daily)\n\nCorresponding FRED id=DCOILWTICO"
series,##GOLD,Macro Series IDs (Unadjusted),"Macro - Oil, Gold Price","Gold Price in London Bullion Market, USD (daily)\n\nCorresponding FRED id=GOLDAMGBD228NLBM"
series,##INFLEXP,Macro Series IDs (Unadjusted),Macro - Sentiment,University of Michigan Inflation Expectation© (monthly)\n\nCorresponding FRED id=MICH
series,##STRESS,Macro Series IDs (Unadjusted),Macro - Stress Index,St. Louis Fed Financial Stress Index© (weekly)\n\nCorresponding FRED id=STLFSI4
series,##UST1MO,Macro Series IDs (Unadjusted),Macro - Treasury bills (T-bills),1-Month Treasury Constant Maturity Rate (USD) (daily)\n\nCorresponding FRED id=DGS1MO
series,##UST1YR,Macro Series IDs (Unadjusted),Macro - Treasury bills (T-bills),1-Year Treasury Constant Maturity Rate (USD) (daily)\n\nCorresponding FRED id=DGS1
series,##UST3MO,Macro Series IDs (Unadjusted),Macro - Treasury bills (T-bills),3-Month Treasury Constant Maturity Rate (USD) (daily)\n\nCorresponding FRED id=DGS3MO
series,##UST20YR,Macro Series IDs (Unadjusted),Macro - Treasury bonds (T-bonds),20-Year Treasury Constant Maturity Rate (USD) (daily)\n\nCorresponding FRED id=DGS20
series,##UST30YR,Macro Series IDs (Unadjusted),Macro - Treasury bonds (T-bonds),30-Year Treasury Constant Maturity Rate (USD) (daily)\n\nCorresponding FRED id=DGS30
series,##UST2YR,Macro Series IDs (Unadjusted),Macro - Treasury notes (T-notes),2-Year Treasury Constant Maturity Rate (USD) (daily)\n\nCorresponding FRED id=DGS2
series,##UST10YR,Macro Series IDs (Unadjusted),Macro - Treasury notes (T-notes),10-Year Treasury Constant Maturity Rate (USD) (daily)\n\nCorresponding FRED id=DGS10
series,##UST5YR,Macro Series IDs (Unadjusted),Macro - Treasury notes (T-notes),5-Year Treasury Constant Maturity Rate (USD) (daily)\n\nCorresponding FRED id=DGS5
series,##UST6MO,Macro Series IDs (Unadjusted),Macro - Treasury notes (T-notes),6-Month Treasury Constant Maturity Rate (USD) (daily)\n\nCorresponding FRED id=DGS6MO
series,##UST7YR,Macro Series IDs (Unadjusted),Macro - Treasury notes (T-notes),7-Year Treasury Constant Maturity Rate (USD) (daily)\n\nCorresponding FRED id=DGS7
series,##UST3YR,Macro Series IDs (Unadjusted),Macro - Treasury notes (T-notes),3-Year Treasury Constant Maturity Rate (USD) (daily)\n\nCorresponding FRED id=DGS3
series,##CHT10YR,Macro Series IDs (Unadjusted),Macro - Treasury notes (T-notes),10-Year Government Bond Yield for Switzerland (monthly)\n\nCorresponding FRED id=IRLTLT01CHM156N
series,##CAT10YR,Macro Series IDs (Unadjusted),Macro - Treasury notes (T-notes),10-Year Government Bond Yield for Canada (monthly)\n\nCorresponding FRED id=IRLTLT01CAM156N
series,##EUT10YR,Macro Series IDs (Unadjusted),Macro - Treasury notes (T-notes),10-Year Government Bond Yield for the Euro Area (monthly)\n\nCorresponding FRED id=IRLTLT01EZM156N
