function_name,group,subgroup,english,item_type,short_desc,params,time_code,doc_id
FHistSum,Advanced Functions,FHist Functions,Historical Sum,FUNC,Returns the sum of 'formula' sampled multiple times in the past. Split/dividend sensitive values adjusted to the as-of date (observation date).,"formula, samples [, weeks_increment=1, NA_pct=20]",,1359
Aggregate,Advanced Functions,Group Summary Statistics,Group Average,FUNC,Returns the average or cap-weighted average for each scope,"formula, scope [, method, outlier_pct, outlier_handl, excl_zero, excl_adrs, median_fallback]",,1310
FSum,Advanced Functions,Group Summary Statistics,Group Sum,FUNC,Returns the sum value of the formula in each scope,"formula [,scope]",,778
FMedian,Advanced Functions,Group Summary Statistics,Group Median,FUNC,Returns the median value of the formula in each scope,"formula [,scope, excl_zero]",,778
FCount,Advanced Functions,Group Summary Statistics,Group Count,FUNC,Counts the number of stocks in each scope where formula is true (non 0),"formula [, scope]",,778
LoopProd,Advanced Functions,Loop Functions,Loop Product,FUNC,"Executes the ""formula"" parameter a number of times and operates on the set of values. A special CTR variable must be used inside ""formula"".","formula(CTR), iterations[, start=0, increment=1, noNAs=FALSE, break=FALSE]",,1224
LoopRelStdDev,Advanced Functions,Loop Functions,Loop Rel Standard Deviation,FUNC,"Executes the ""formula"" parameter a number of times and operates on the set of values. A special CTR variable must be used inside ""formula"".","formula(CTR), iterations[, start=0, increment=1, noNAs=FALSE, break=FALSE]",,1224
LoopAvg,Advanced Functions,Loop Functions,Loop Average,FUNC,"Executes the ""formula"" parameter a number of times and operates on the set of values. A special CTR variable must be used inside ""formula"".","formula(CTR), iterations[, start=0, increment=1, noNAs=FALSE, break=FALSE]",,1224
LoopMax,Advanced Functions,Loop Functions,Loop Max,FUNC,"Executes the ""formula"" parameter a number of times and operates on the set of values. A special CTR variable must be used inside ""formula"".","formula(CTR), iterations[, start=0, increment=1, noNAs=FALSE, break=FALSE]",,1224
LoopMedian,Advanced Functions,Loop Functions,Loop Median,FUNC,"Executes the ""formula"" parameter a number of times and operates on the set of values. A special CTR variable must be used inside ""formula"".","formula(CTR), iterations[, start=0, increment=1, noNAs=FALSE, break=FALSE]",,1224
LoopMin,Advanced Functions,Loop Functions,Loop Min,FUNC,"Executes the ""formula"" parameter a number of times and operates on the set of values. A special CTR variable must be used inside ""formula"".","formula(CTR), iterations[, start=0, increment=1, noNAs=FALSE, break=FALSE]",,1224
LoopStdDev,Advanced Functions,Loop Functions,Loop Standard Deviation,FUNC,"Executes the ""formula"" parameter a number of times and operates on the set of values. A special CTR variable must be used inside ""formula"".","formula(CTR), iterations[, start=0, increment=1, noNAs=FALSE, break=FALSE]",,1224
LoopSum,Advanced Functions,Loop Functions,Loop Sum,FUNC,"Executes the ""formula"" parameter a number of times and operates on the set of values. A special CTR variable must be used inside ""formula"".","formula(CTR), iterations[, start=0, increment=1, noNAs=FALSE, break=FALSE]",,1224
LinReg,Advanced Functions,Loop Regression,Linear Regression using Loop,FUNC,"Executes the ""formula"" parameter a number of times and operates a regression on the set of values. A special CTR variable must be used inside ""formula"".","Formula(CTR), iterations[, start, increment]",,1407
LinRegXY,Advanced Functions,Loop Regression,Linear XY Regression using Loop,FUNC,"Executes the ""formula"" parameter a number of times and operates a bivariate regression on the set of values. A special CTR variable must be used inside ""formula"".","X-Formula(CTR), ""Y-Formula(CTR)"", iterations[, start, increment]",,1407
GetRank,Advanced Functions,Ranking,Latest Rank,FUNC,Returns the rank of the ticker,ticker,,0
GetRankPos,Advanced Functions,Ranking,Latest Rank,FUNC,Returns the rank position of the ticker,ticker,,0
NodeRank,Advanced Functions,Ranking,Node Rank,FUNC,Returns the node rank within a ranking system. Please see the Full Description for details and examples.,name,,810
RankPrev,Advanced Functions,Ranking,Previous Rank,FUNC,"Historical weekly rank based on the selected ranking system. Weekly ranks are updated every Saturday.\n\nweeksAgo: number of weeks from 0-261.\n\nExamples: To get the stocks whose rank has improved week to week, enter:\n\nRankPrev(0) > RankPrev(1)",weeksAgo,,253
Rating,Advanced Functions,Ranking,Other Rank,FUNC,"Returns the rank for the named Ranking System. You can specify one of your systems or one of our pre-built ranking systems. Example:\n\nRating(""Momentum Value"")>80\n\nNOTE: A maximum of 3 Rating/RatingPos functions can be used for a request",RankName,,0
RatingPos,Advanced Functions,Ranking,Other Rank,FUNC,"Returns the rank position for the named Ranking System. You can specify one of your systems or one of our pre-built ranking systems. Example:\n\nRatingPos(""Momentum Value"")<10\n\nNOTE: A maximum of 3 Rating/RatingPos functions can be used for a request.",RankName,,0
RankPosPrev,Advanced Functions,Ranking,Previous Rank,FUNC,Historical weekly rank position based on the selected ranking system. Weekly ranks are updated every Saturday.\n\nweeksAgo: number of weeks from 0-261.,weeksAgo,,253
FOrder,Advanced Functions,Relative vs. Group,Order in a Group,FUNC,Sorts stocks based on formula and returns the position in the array.,"formula [, scope=#All, sort=#DESC, distinct=FALSE, incl_na=#InclNA]",,1304
FRank,Advanced Functions,Relative vs. Group,Rank in a Group,FUNC,Ranks stocks based on a formula and returns the percentile.,"formula[, scope=#All, sort=#DESC, incl_na=#InclNA, sort_style=#Top]",,1229
ZScore,Advanced Functions,Relative vs. Group,ZScore in a Group,FUNC,Calculates how many standard deviations the value from the formula is from the mean,"formula[, scope=#All, outlier_pct=7.5, na_value=0, max_zscore=3.5]",,1240
LoopRel,Advanced Functions,Relative vs. History,Loop Relative,FUNC,Returns the relative value from 0 to 1 of most recent value of the Loop formula vs. previous minimum and maximum values calculated by iterating the CTR variable.,"formula(CTR), iterations[, start=0, increment=0, NA_value=NA, NA_pct=20]",,1420
LoopZScore,Advanced Functions,Relative vs. History,Loop ZScore,FUNC,Returns the zscore of most recent value of the Loop formula vs. previous values calculated by iterating the CTR variable.,"formula(CTR), iterations[, start=0, increment=1, clip=3.5, NA_value=NA, NA_pct=20]",,1420
LoopRank,Advanced Functions,Relative vs. History,Loop Rank,FUNC,Returns the rank of most recent value of the Loop formula vs. previous values calculated by iterating the CTR variable.,"“formula(CTR)”, iterations[, start=0, incr=1, sort=#DESC, sort_style=#Top, NA_value=NA, NA_Pct=20]",,1420
FHistRel,Advanced Functions,Relative vs. History,FHist Relative,FUNC,Returns the relative value from 0 to 1 of most recent value vs. previous minimum and maximum PIT values.,"formula, samples [, weeks_increment=1, NA_value=NA, NA_Pct=20]",,1419
FHistZScore,Advanced Functions,Relative vs. History,FHist ZScore,FUNC,Returns the zscore of most recent value vs. previous PIT values.,"formula, samples, weeks_increment=1, clip=3.5, NA_value=NA, NA_pct=20",,1419
FHistRank,Advanced Functions,Relative vs. History,FHist Rank,FUNC,Returns the percentile rank from 0 to 100 of most recent value vs. previous PIT values.,"formula, samples[, weeks_increment=1, sort=#DESC, sort_style=#Top, NA_value=NA, NA_pct=20]",,1419
Screen,Advanced Functions,Screener Only,Screen Holdings,FUNC,"Runs the screen specified in the first parameter. If top>0 then only the specified top stocks are returned. With this you can create screen-of-screens.\n\nScreen(""Graham"",7) Or Screen(""Lynch"",7)","ScreenName, top",,1176
ShowCorrel,Advanced Functions,Screener Only,Show Correlation Matrix in report,FUNC,This function produces a correlation matrix in the screen report,"period , samples",,1318
ShowVar,Advanced Functions,Screener Only,Show/Set Variable function,FUNC,"Sets the variable @myvar to expression, returns TRUE, and displays @myvar in the screen report.","@myvar, expression",,1408
WatchlistClose,Advanced Functions,"Watchlists, Holdings, & Opinions",Watchlist Holdings,FUNC,"Returns the number of calendar days since the stock was last removed, -1 if currently in the watchlist, or NA if not added within the past 6 months.","id1[, .., id10]",,1174
WatchlistCloseBar,Advanced Functions,"Watchlists, Holdings, & Opinions",Watchlist Holdings,FUNC,"Returns the number of bars since the stock was last removed, -1 if currently in the watchlist, or NA if not added within the past 6 months.","id1[, .., id10]",,1174
WatchlistOpen,Advanced Functions,"Watchlists, Holdings, & Opinions",Watchlist Holdings,FUNC,"Returns the number of calendar days since the stock was first added, otherwise NA.","id1[, .., id10]",,1174
WatchlistOpenBar,Advanced Functions,"Watchlists, Holdings, & Opinions",Watchlist Holdings,FUNC,"Returns the number of bars since the stock was first added, otherwise NA.","id1[, .., id10]",,1174
WatchlistCurrent,Advanced Functions,"Watchlists, Holdings, & Opinions",Watchlist Holdings,FUNC,Returns TRUE if the stock is currently in your watchlist.,WatchlistName,,0
PortfolioOpenBar,Advanced Functions,"Watchlists, Holdings, & Opinions",Portfolio Holdings,FUNC,"Returns the number of bars since the position was first opened for the stock being analyzed, otherwise NA.","id1[, .., id10]",,1174
Account,Advanced Functions,"Watchlists, Holdings, & Opinions",Account Holdings,FUNC,"Return TRUE if stock being analyzed is an open position. For the id parameters use either the name in quotes, or the numerical id.","id1[, .., id10]",,1174
AccountClose,Advanced Functions,"Watchlists, Holdings, & Opinions",Account Holdings,FUNC,"Returns the number of calendar days since the position was last closed for the stock being analyzed, -1 if currently held, or NA if not held within the past 6 months.","id1[, .., id10]",,1174
AccountCloseBar,Advanced Functions,"Watchlists, Holdings, & Opinions",Account Holdings,FUNC,"Returns the number of bars since the position was last closed for the stock being analyzed, -1 if currently held, or NA if not held within the past 6 months.","id1[, .., id10]",,1174
AccountOpen,Advanced Functions,"Watchlists, Holdings, & Opinions",Account Holdings,FUNC,"Returns the number of calendar days since the position was first opened for the stock being analyzed, otherwise NA.","id1[, .., id10]",,1174
AccountOpenBar,Advanced Functions,"Watchlists, Holdings, & Opinions",Account Holdings,FUNC,"Returns the number of bars since the position was first opened for the stock being analyzed, otherwise NA.","id1[, .., id10]",,1174
Portfolio,Advanced Functions,"Watchlists, Holdings, & Opinions",Portfolio Holdings,FUNC,"Return TRUE if stock being analyzed is an open position. For the id parameters use either the name in quotes, or the numerical id.","id1[, .., id10]",,1174
PortfolioClose,Advanced Functions,"Watchlists, Holdings, & Opinions",Portfolio Holdings,FUNC,"Returns the number of calendar days since the position was last closed for the stock being analyzed, -1 if currently held, or NA if not held within the past 6 months.","id1[, .., id10]",,1174
PortfolioCloseBar,Advanced Functions,"Watchlists, Holdings, & Opinions",Portfolio Holdings,FUNC,"Returns the number of bars since the position was last closed for the stock being analyzed, -1 if currently held, or NA if not held within the past 6 months.","id1[, .., id10]",,1174
PortfolioOpen,Advanced Functions,"Watchlists, Holdings, & Opinions",Portfolio Holdings,FUNC,"Returns the number of calendar days since the position was first opened for the stock being analyzed, otherwise NA.","id1[, .., id10]",,1174
Watchlist,Advanced Functions,"Watchlists, Holdings, & Opinions",Watchlist Holdings,FUNC,"Return TRUE if stock being analyzed is in the watchlist on the date in question. For the id parameters use either the name in quotes, or the numerical id.","id1[, .., id10]",,1174
Inventory,Balance Sheet,Assets-Current,Inventory,STMT_FACTOR_BAL,"Function parameters (see Full Description for more):\n<i>offset</i>: 0-20 (interim) 0-10 (annual)\n<i>type</i>: QTR,ANN,TTM\n<i>NAHandling</i>: FALLBACK,KEEPNA,ZERONA","offset,type[,NAHandling]",,901
InvstST,Balance Sheet,Assets-Current,Short Term Investments,STMT_FACTOR_BAL,"Function parameters (see Full Description for more):\n<i>offset</i>: 0-20 (interim) 0-10 (annual)\n<i>type</i>: QTR,ANN,TTM\n<i>NAHandling</i>: FALLBACK,KEEPNA,ZERONA","offset,type[,NAHandling]",,904
AstCur,Balance Sheet,Assets-Current,Current Assets Total,STMT_FACTOR_BAL,"Function parameters (see Full Description for more):\n<i>offset</i>: 0-20 (interim) 0-10 (annual)\n<i>type</i>: QTR,ANN,TTM\n<i>NAHandling</i>: FALLBACK,KEEPNA,ZERONA","offset,type[,NAHandling]",,873
AstCurOther,Balance Sheet,Assets-Current,Current Assets Other,STMT_FACTOR_BAL,"Function parameters (see Full Description for more):\n<i>offset</i>: 0-20 (interim) 0-10 (annual)\n<i>type</i>: QTR,ANN,TTM\n<i>NAHandling</i>: FALLBACK,KEEPNA,ZERONA","offset,type[,NAHandling]",,874
Cash,Balance Sheet,Assets-Current,Cash,STMT_FACTOR_BAL,"Function parameters (see Full Description for more):\n<i>offset</i>: 0-20 (interim) 0-10 (annual)\n<i>type</i>: QTR,ANN,TTM\n<i>NAHandling</i>: FALLBACK,KEEPNA,ZERONA","offset,type[,NAHandling]",,984
CashEquiv,Balance Sheet,Assets-Current,Cash and Equivalents,STMT_FACTOR_BAL,"Function parameters (see Full Description for more):\n<i>offset</i>: 0-20 (interim) 0-10 (annual)\n<i>type</i>: QTR,ANN,TTM\n<i>NAHandling</i>: FALLBACK,KEEPNA,ZERONA","offset,type[,NAHandling]",,889
Recvbl,Balance Sheet,Assets-Current,Accounts Receivables,STMT_FACTOR_BAL,"Function parameters (see Full Description for more):\n<i>offset</i>: 0-20 (interim) 0-10 (annual)\n<i>type</i>: QTR,ANN,TTM\n<i>NAHandling</i>: FALLBACK,KEEPNA,ZERONA","offset,type[,NAHandling]",,915
WorkCap,Balance Sheet,Assets-Current,Working Capital,STMT_FACTOR_BAL,"Function parameters (see Full Description for more):\n<i>offset</i>: 0-20 (interim) 0-10 (annual)\n<i>type</i>: QTR,ANN,TTM\n<i>NAHandling</i>: FALLBACK,KEEPNA,ZERONA","offset,type[,NAHandling]",,919
NetPlant,Balance Sheet,Assets-Noncurrent,Net Property Plant and Equipment,STMT_FACTOR_BAL,"Function parameters (see Full Description for more):\n<i>offset</i>: 0-20 (interim) 0-10 (annual)\n<i>type</i>: QTR,ANN,TTM\n<i>NAHandling</i>: FALLBACK,KEEPNA,ZERONA","offset,type[,NAHandling]",,912
AstIntan,Balance Sheet,Assets-Noncurrent,Intangible Assets,STMT_FACTOR_BAL,"Function parameters (see Full Description for more):\n<i>offset</i>: 0-20 (interim) 0-10 (annual)\n<i>type</i>: QTR,ANN,TTM\n<i>NAHandling</i>: FALLBACK,KEEPNA,ZERONA","offset,type[,NAHandling]",,875
AstNonCurOther,Balance Sheet,Assets-Noncurrent,Non-Current Assets Other,STMT_FACTOR_BAL,"Function parameters (see Full Description for more):\n<i>offset</i>: 0-20 (interim) 0-10 (annual)\n<i>type</i>: QTR,ANN,TTM\n<i>NAHandling</i>: FALLBACK,KEEPNA,ZERONA","offset,type[,NAHandling]",,884
AstTot,Balance Sheet,Assets-Noncurrent,Total Assets,STMT_FACTOR_BAL,"Function parameters (see Full Description for more):\n<i>offset</i>: 0-20 (interim) 0-10 (annual)\n<i>type</i>: QTR,ANN,TTM\n<i>NAHandling</i>: FALLBACK,KEEPNA,ZERONA","offset,type[,NAHandling]",,885
AccumDep,Balance Sheet,Assets-Noncurrent,Accumulated Depreciation,STMT_FACTOR_BAL,"Function parameters (see Full Description for more):\n<i>offset</i>: 0-20 (interim) 0-10 (annual)\n<i>type</i>: QTR,ANN,TTM\n<i>NAHandling</i>: FALLBACK,KEEPNA,ZERONA","offset,type[,NAHandling]",,871
GrossPlant,Balance Sheet,Assets-Noncurrent,Gross Property Plant and Equipment,STMT_FACTOR_BAL,"Function parameters (see Full Description for more):\n<i>offset</i>: 0-20 (interim) 0-10 (annual)\n<i>type</i>: QTR,ANN,TTM\n<i>NAHandling</i>: FALLBACK,KEEPNA,ZERONA","offset,type[,NAHandling]",,899
IntanOther,Balance Sheet,Assets-Noncurrent,Other Intangibles,STMT_FACTOR_BAL,"Function parameters (see Full Description for more):\n<i>offset</i>: 0-20 (interim) 0-10 (annual)\n<i>type</i>: QTR,ANN,TTM\n<i>NAHandling</i>: FALLBACK,KEEPNA,ZERONA","offset,type[,NAHandling]",,1386
InvstAdvOther,Balance Sheet,Assets-Noncurrent,Investments and Advances Other,STMT_FACTOR_BAL,"Function parameters (see Full Description for more):\n<i>offset</i>: 0-20 (interim) 0-10 (annual)\n<i>type</i>: QTR,ANN,TTM\n<i>NAHandling</i>: FALLBACK,KEEPNA,ZERONA","offset,type[,NAHandling]",,902
InvstEq,Balance Sheet,Assets-Noncurrent,Equity Investments,STMT_FACTOR_BAL,"Function parameters (see Full Description for more):\n<i>offset</i>: 0-20 (interim) 0-10 (annual)\n<i>type</i>: QTR,ANN,TTM\n<i>NAHandling</i>: FALLBACK,KEEPNA,ZERONA","offset,type[,NAHandling]",,1385
Goodwill,Balance Sheet,Assets-Noncurrent,Goodwill,STMT_FACTOR_BAL,"Function parameters (see Full Description for more):\n<i>offset</i>: 0-20 (interim) 0-10 (annual)\n<i>type</i>: QTR,ANN,TTM\n<i>NAHandling</i>: FALLBACK,KEEPNA,ZERONA","offset,type[,NAHandling]",,898
LiabCur,Balance Sheet,Liabilities-Current,Current Liabilities Total,STMT_FACTOR_BAL,"Function parameters (see Full Description for more):\n<i>offset</i>: 0-20 (interim) 0-10 (annual)\n<i>type</i>: QTR,ANN,TTM\n<i>NAHandling</i>: FALLBACK,KEEPNA,ZERONA","offset,type[,NAHandling]",,906
LiabCurOther,Balance Sheet,Liabilities-Current,Current Liabilities Other,STMT_FACTOR_BAL,"Function parameters (see Full Description for more):\n<i>offset</i>: 0-20 (interim) 0-10 (annual)\n<i>type</i>: QTR,ANN,TTM\n<i>NAHandling</i>: FALLBACK,KEEPNA,ZERONA","offset,type[,NAHandling]",,985
DbtST,Balance Sheet,Liabilities-Current,Short Term Debt,STMT_FACTOR_BAL,"Function parameters (see Full Description for more):\n<i>offset</i>: 0-20 (interim) 0-10 (annual)\n<i>type</i>: QTR,ANN,TTM\n<i>NAHandling</i>: FALLBACK,KEEPNA,ZERONA","offset,type[,NAHandling]",,895
Payables,Balance Sheet,Liabilities-Current,Accounts Payable,STMT_FACTOR_BAL,"Function parameters (see Full Description for more):\n<i>offset</i>: 0-20 (interim) 0-10 (annual)\n<i>type</i>: QTR,ANN,TTM\n<i>NAHandling</i>: FALLBACK,KEEPNA,ZERONA","offset,type[,NAHandling]",,913
TxPayable,Balance Sheet,Liabilities-Current,Taxes Payable,STMT_FACTOR_BAL,"Function parameters (see Full Description for more):\n<i>offset</i>: 0-20 (interim) 0-10 (annual)\n<i>type</i>: QTR,ANN,TTM\n<i>NAHandling</i>: FALLBACK,KEEPNA,ZERONA","offset,type[,NAHandling]",,918
DbtTot,Balance Sheet,Liabilities-Noncurrent,Total Debt,STMT_FACTOR_BAL,"Function parameters (see Full Description for more):\n<i>offset</i>: 0-20 (interim) 0-10 (annual)\n<i>type</i>: QTR,ANN,TTM\n<i>NAHandling</i>: FALLBACK,KEEPNA,ZERONA","offset,type[,NAHandling]",,896
DbtLT,Balance Sheet,Liabilities-Noncurrent,Long Term Debt,STMT_FACTOR_BAL,"Function parameters (see Full Description for more):\n<i>offset</i>: 0-20 (interim) 0-10 (annual)\n<i>type</i>: QTR,ANN,TTM\n<i>NAHandling</i>: FALLBACK,KEEPNA,ZERONA","offset,type[,NAHandling]",,894
LiabNonCurOther,Balance Sheet,Liabilities-Noncurrent,Other Non-current Liabilities,STMT_FACTOR_BAL,"Function parameters (see Full Description for more):\n<i>offset</i>: 0-20 (interim) 0-10 (annual)\n<i>type</i>: QTR,ANN,TTM\n<i>NAHandling</i>: FALLBACK,KEEPNA,ZERONA","offset,type[,NAHandling]",,908
LiabTot,Balance Sheet,Liabilities-Noncurrent,Total Liabilities,STMT_FACTOR_BAL,"Function parameters (see Full Description for more):\n<i>offset</i>: 0-20 (interim) 0-10 (annual)\n<i>type</i>: QTR,ANN,TTM\n<i>NAHandling</i>: FALLBACK,KEEPNA,ZERONA","offset,type[,NAHandling]",,910
TxDfdIC,Balance Sheet,Liabilities-Noncurrent,Deferred Taxes and Investment Credits,STMT_FACTOR_BAL,"Function parameters (see Full Description for more):\n<i>offset</i>: 0-20 (interim) 0-10 (annual)\n<i>type</i>: QTR,ANN,TTM\n<i>NAHandling</i>: FALLBACK,KEEPNA,ZERONA","offset,type[,NAHandling]",,917
PfdEquity,Balance Sheet,Shareholders Equity,Preferred Equity,STMT_FACTOR_BAL,"Function parameters (see Full Description for more):\n<i>offset</i>: 0-20 (interim) 0-10 (annual)\n<i>type</i>: QTR,ANN,TTM\n<i>NAHandling</i>: FALLBACK,KEEPNA,ZERONA","offset,type[,NAHandling]",,1226
ComEq,Balance Sheet,Shareholders Equity,Common Equity,STMT_FACTOR_BAL,"Function parameters (see Full Description for more):\n<i>offset</i>: 0-20 (interim) 0-10 (annual)\n<i>type</i>: QTR,ANN,TTM\n<i>NAHandling</i>: FALLBACK,KEEPNA,ZERONA","offset,type[,NAHandling]",,890
RetainedEarn,Balance Sheet,Shareholders Equity,Retained Earnings,STMT_FACTOR_BAL,"Function parameters (see Full Description for more):\n<i>offset</i>: 0-20 (interim) 0-10 (annual)\n<i>type</i>: QTR,ANN,TTM\n<i>NAHandling</i>: FALLBACK,KEEPNA,ZERONA","offset,type[,NAHandling]",,1249
EqTot,Balance Sheet,Shareholders Equity,Shareholder's Equity Total,STMT_FACTOR_BAL,"Function parameters (see Full Description for more):\n<i>offset</i>: 0-20 (interim) 0-10 (annual)\n<i>type</i>: QTR,ANN,TTM\n<i>NAHandling</i>: FALLBACK,KEEPNA,ZERONA","offset,type[,NAHandling]",,897
CapSurplus,Balance Sheet,Shareholders Equity,Capital Surplus,STMT_FACTOR_BAL,"Function parameters (see Full Description for more):\n<i>offset</i>: 0-20 (interim) 0-10 (annual)\n<i>type</i>: QTR,ANN,TTM\n<i>NAHandling</i>: FALLBACK,KEEPNA,ZERONA","offset,type[,NAHandling]",,1248
BookVal,Balance Sheet,Shareholders Equity,Book Value,STMT_FACTOR_BAL,"Function parameters (see Full Description for more):\n<i>offset</i>: 0-20 (interim) 0-10 (annual)\n<i>type</i>: QTR,ANN,TTM\n<i>NAHandling</i>: FALLBACK,KEEPNA,ZERONA","offset,type[,NAHandling]",,892
TanBV,Balance Sheet,Shareholders Equity,Tangible Book Value (Net Tangible Assets),STMT_FACTOR_BAL,"Function parameters (see Full Description for more):\n<i>offset</i>: 0-20 (interim) 0-10 (annual)\n<i>type</i>: QTR,ANN,TTM\n<i>NAHandling</i>: FALLBACK,KEEPNA,ZERONA","offset,type[,NAHandling]",,916
NonControlInt,Balance Sheet,Shareholders Equity,Non Controlling Interest,STMT_FACTOR_BAL,"Function parameters (see Full Description for more):\n<i>offset</i>: 0-20 (interim) 0-10 (annual)\n<i>type</i>: QTR,ANN,TTM\n<i>NAHandling</i>: FALLBACK,KEEPNA,ZERONA","offset,type[,NAHandling]",,1218
Shares,Balance Sheet,Shares,Common Shares,STMT_FACTOR_FUNC,"Function parameters (see Full Description for more):\n<i>offset</i>: 0-20 (interim) 0-10 (annual)\n<i>type</i>: QTR,ANN,TTM\n<i>NAHandling</i>: FALLBACK,KEEPNA,ZERONA","offset,type[,NAHandling]",,1339
SharesCur,Balance Sheet,Shares,Common Shares Most Recent,FUNC,Returns the most recent common shares outstanding from a daily source. Only includes the current primary stock. See Full Description from more info,barsAgo,,1283
SharesFD,Balance Sheet,Shares,Common Shares Fully Diluted,STMT_FACTOR_FUNC,"Function parameters (see Full Description for more):\n<i>offset</i>: 0-20 (interim) 0-10 (annual)\n<i>type</i>: QTR,ANN,TTM\n<i>NAHandling</i>: FALLBACK,KEEPNA,ZERONA","offset,type[,NAHandling]",,1244
